feature,importance
ROIC,0.36589512
PACC,0.2876069
macro_lag1_CPIgrowth,0.14193729
macro_lag1_Vol,0.08942764
TG,0.054529816
B_HS,0.0214189
CINVEST,0.01690064
dolvol,0.0064929244
EBIT,0.0037848186
DER,0.003267542
CTO,0.0022139996
prc,0.0014208131
mom1m,0.0014066545
pricedelay,0.0012411742
Z,0.00087597634
mv,0.0008228835
chmom,0.000422566
std_dolvol,0.00018879323
DLME,0.00014549539
ACC,0.0
ATO,0.0
age,0.0
IA,0.0
GM,0.0
EY,0.0
IVC,0.0
GP,0.0
BM,0.0
CTA,0.0
CRG,0.0
EP,0.0
CAPXG,0.0
CFP,0.0
CR,0.0
OCFP,0.0
CFOA,0.0
TBI,0.0
SG,0.0
ROE,0.0
SP,0.0
ROA,0.0
QR,0.0
QRG,0.0
RNA,0.0
dPIA,0.0
NOA,0.0
PY,0.0
rev1,0.0
EPS,0.0
CEPS,0.0
DA,0.0
CHTX,0.0
mom12m,0.0
mom6m,0.0
B_FF,0.0
B_Dn,0.0
volt,0.0
B_Dim,0.0
NCF,0.0
mom36m,0.0
beta,0.0
retvol,0.0
maxret,0.0
betasq,0.0
B_FP,0.0
idiovol,0.0
size,0.0
macro_lag1_GDPgrowth,0.0
