model,Dates,long_return,short_return,long_short_return,n_long,n_short
rf_depth16_leaf20_selected,201801,0.07265695890410959,0.003529143835616443,0.06912781506849314,292,292
rf_depth16_leaf20_selected,201802,-0.042710493150684925,-0.04774651712328766,0.005036023972602735,292,292
rf_depth16_leaf20_selected,201803,0.004749437500000001,-0.016173482638888886,0.020922920138888888,288,288
rf_depth16_leaf20_selected,201804,-0.10895900974025972,-0.10108880194805193,-0.00787020779220779,308,308
rf_depth16_leaf20_selected,201805,-0.012548227564102565,0.004369076923076922,-0.016917304487179485,312,312
rf_depth16_leaf20_selected,201806,-0.09209856112852663,-0.07353669278996865,-0.018561868338557982,319,319
rf_depth16_leaf20_selected,201807,-0.019531040498442367,0.006293900311526478,-0.025824940809968847,321,321
rf_depth16_leaf20_selected,201808,-0.08379889602446483,-0.11023559938837918,0.02643670336391435,327,327
rf_depth16_leaf20_selected,201809,0.05925596341463414,0.027549000000000004,0.03170696341463414,328,328
rf_depth16_leaf20_selected,201810,-0.02768500302114803,-0.04836272507552869,0.02067772205438066,331,331
rf_depth16_leaf20_selected,201811,-0.03636603313253012,-0.008345274096385538,-0.02802075903614458,332,332
rf_depth16_leaf20_selected,201812,0.18862722686567163,0.25169302686567163,-0.0630658,335,335
rf_depth16_leaf20_selected,201901,0.10454766066066067,0.1065283033033033,-0.0019806426426426382,333,333
rf_depth16_leaf20_selected,201902,-0.029876701807228904,-0.0519488734939759,0.022072171686746998,332,332
rf_depth16_leaf20_selected,201903,-0.02550628797468354,-0.07792153164556963,0.05241524367088608,316,316
rf_depth16_leaf20_selected,201904,-0.0036204343750000007,0.0018424468749999971,-0.005462881249999997,320,320
rf_depth16_leaf20_selected,201905,-0.0011718916408668721,-0.02606365325077398,0.02489176160990711,323,323
rf_depth16_leaf20_selected,201906,0.0027080340557275595,-0.023022114551083585,0.025730148606811144,323,323
rf_depth16_leaf20_selected,201907,0.0356773850931677,0.004175773291925464,0.03150161180124224,322,322
rf_depth16_leaf20_selected,201908,0.006839656346749229,-0.012143445820433434,0.018983102167182662,323,323
rf_depth16_leaf20_selected,201909,-0.01892455555555555,-0.02249141975308641,0.0035668641975308626,324,324
rf_depth16_leaf20_selected,201910,0.09142267278287461,0.08176770948012231,0.009654963302752298,327,327
xgb_depth5_lr003_best1_selected,201801,0.041522623287671236,0.011975537671232878,0.02954708561643836,292,292
xgb_depth5_lr003_best1_selected,201802,-0.03942471575342465,-0.038527215753424646,-0.0008975000000000025,292,292
xgb_depth5_lr003_best1_selected,201803,0.0029213541666666685,0.033711493055555555,-0.030790138888888888,288,288
xgb_depth5_lr003_best1_selected,201804,-0.11567660389610387,-0.11493083116883117,-0.000745772727272706,308,308
xgb_depth5_lr003_best1_selected,201805,0.01995463461538461,-0.01657737179487179,0.036532006410256404,312,312
xgb_depth5_lr003_best1_selected,201806,-0.08508300626959246,-0.09737569278996863,0.01229268652037617,319,319
xgb_depth5_lr003_best1_selected,201807,0.0016170155763239845,-0.017496987538940807,0.01911400311526479,321,321
xgb_depth5_lr003_best1_selected,201808,-0.09805109785932721,-0.09624065443425074,-0.001810443425076469,327,327
xgb_depth5_lr003_best1_selected,201809,0.056483923780487805,0.04634446341463414,0.010139460365853663,328,328
xgb_depth5_lr003_best1_selected,201810,-0.05201635649546827,-0.02629124773413896,-0.02572510876132931,331,331
xgb_depth5_lr003_best1_selected,201811,-0.016633861445783132,-0.024757310240963854,0.008123448795180722,332,332
xgb_depth5_lr003_best1_selected,201812,0.21946155820895522,0.20182498208955224,0.017636576119402975,335,335
xgb_depth5_lr003_best1_selected,201901,0.10935968768768768,0.10505735135135134,0.004302336336336338,333,333
xgb_depth5_lr003_best1_selected,201902,-0.03914707831325301,-0.04170747891566264,0.0025604006024096335,332,332
xgb_depth5_lr003_best1_selected,201903,-0.0506673069620253,-0.04044840506329113,-0.010218901898734173,316,316
xgb_depth5_lr003_best1_selected,201904,-0.011004984374999999,0.010486903124999999,-0.021491887499999997,320,320
xgb_depth5_lr003_best1_selected,201905,-0.03387829721362228,-0.0036232569659442712,-0.03025504024767801,323,323
xgb_depth5_lr003_best1_selected,201906,-0.01660448916408667,0.0070249938080495416,-0.023629482972136212,323,323
xgb_depth5_lr003_best1_selected,201907,0.0026799782608695655,0.02543128571428571,-0.022751307453416143,322,322
xgb_depth5_lr003_best1_selected,201908,-0.0036498730650154766,-0.002299857585139313,-0.0013500154798761635,323,323
xgb_depth5_lr003_best1_selected,201909,-0.00887020061728395,-0.028396108024691353,0.0195259074074074,324,324
xgb_depth5_lr003_best1_selected,201910,0.06425210703363914,0.09362004281345565,-0.029367935779816515,327,327
